ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4
4158,21914,12140,-2,-57,-7,23810,4962,5082,-18,23,7,0,0,0,0,0,0,0,0,0,0,0,0
4192,22024,12240,20,-50,-8,23896,5032,5172,-12,13,11,0,0,0,0,0,0,0,0,0,0,0,0
4140,22092,12272,32,-52,-6,23950,5078,5152,-30,19,9,0,0,0,0,0,0,0,0,0,0,0,0
4132,22058,12202,32,-59,-3,23922,4948,5176,-66,38,4,0,0,0,0,0,0,0,0,0,0,0,0
4138,22080,12122,35,-64,-6,23812,4740,5084,-73,58,2,0,0,0,0,0,0,0,0,0,0,0,0
4182,22158,12162,43,-59,-6,23660,4654,5136,-52,53,11,0,0,0,0,0,0,0,0,0,0,0,0
4222,22212,12302,37,-57,-10,23868,4644,5114,9,16,21,0,0,0,0,0,0,0,0,0,0,0,0
4118,22332,12302,22,-54,-10,24066,4790,5030,35,6,14,0,0,0,0,0,0,0,0,0,0,0,0
4138,22244,12262,3,-59,-5,24010,5000,5152,35,26,7,0,0,0,0,0,0,0,0,0,0,0,0
4124,22110,12120,-16,-59,-1,23796,5102,5184,20,47,7,0,0,0,0,0,0,0,0,0,0,0,0
4162,21932,12170,5,-58,1,23612,5182,5158,0,53,6,0,0,0,0,0,0,0,0,0,0,0,0
4242,21914,12196,21,-59,-1,23630,5030,5102,-34,46,0,0,0,0,0,0,0,0,0,0,0,0,0
4302,21902,12192,30,-54,-6,23762,4796,5002,-36,35,2,0,0,0,0,0,0,0,0,0,0,0,0
4270,22038,12164,66,-48,-1,23844,4796,5008,-12,31,5,0,0,0,0,0,0,0,0,0,0,0,0
4162,22262,12154,83,-40,-6,23766,4810,5108,10,30,7,0,0,0,0,0,0,0,0,0,0,0,0
3954,22340,12230,41,-44,-7,23676,4952,5176,29,26,13,0,0,0,0,0,0,0,0,0,0,0,0
3956,22250,12210,14,-48,-10,23632,5156,5012,13,21,9,0,0,0,0,0,0,0,0,0,0,0,0
4092,22062,12178,12,-57,-10,23752,5130,4974,-39,30,5,0,0,0,0,0,0,0,0,0,0,0,0
4200,22112,12220,26,-53,-12,23708,4992,5130,-68,43,3,0,0,0,0,0,0,0,0,0,0,0,0
4080,22258,12206,40,-56,-3,23722,4772,5102,-55,38,6,0,0,0,0,0,0,0,0,0,0,0,0
4114,22294,12096,14,-57,-7,23838,4722,5086,-19,18,11,0,0,0,0,0,0,0,0,0,0,0,0
4012,22128,12090,-11,-56,-7,23932,4754,5058,9,15,15,0,0,0,0,0,0,0,0,0,0,0,0
