elbow_0
Module: E0:5A:1B:76:00:58 (06)
t(us),ax,ay,az,gx,gy,gz,y,p,r
3000236,23036,19048,-2480,98,28,-13,-0.920456,2.253546,1.615365
3015861,23076,19120,-2684,94,28,-22,-0.921361,2.253961,1.617176
3031488,23072,19162,-2826,123,34,-18,-0.923491,2.254633,1.621127
3047115,23030,19282,-2792,125,29,6,-0.926332,2.255111,1.625856
3062741,23154,19176,-2650,108,20,5,-0.927817,2.255284,1.628137
3078367,23210,19186,-2666,114,34,-16,-0.930288,2.255529,1.632218
3093993,23112,19208,-2734,101,52,-26,-0.931170,2.255892,1.634004
3109619,22958,19188,-2718,75,62,-16,-0.932345,2.256617,1.636884
3125245,22886,19162,-2910,77,61,-6,-0.932719,2.256912,1.637897
3140871,22860,19242,-3024,129,45,4,-0.934176,2.257327,1.640618
3156498,22914,19364,-2922,153,28,3,-0.935547,2.257534,1.642873
3172124,23046,19306,-2864,108,22,-15,-0.938209,2.258001,1.647669
3187750,23046,19328,-3014,72,37,-25,-0.939728,2.258719,1.651023
3203377,23036,19306,-3028,90,46,-9,-0.940173,2.259142,1.652267
3219003,23032,19394,-3060,139,45,9,-0.941965,2.259529,1.655550
3234630,22982,19462,-3030,144,40,9,-0.943183,2.259631,1.657480
3250257,23010,19466,-3052,90,47,-2,-0.945109,2.259956,1.661156
3265883,22976,19448,-3138,55,55,-7,-0.945747,2.260114,1.662412
3281508,22968,19372,-3098,54,52,-3,-0.946253,2.260691,1.664220
3297135,22958,19314,-3130,65,40,-3,-0.946905,2.261113,1.665952
3312761,22950,19392,-3280,75,38,-3,-0.947520,2.261332,1.667221
3328387,23010,19536,-3310,67,46,1,-0.948700,2.261758,1.669640
3344013,22954,19534,-3210,81,46,15,-0.949377,2.261888,1.670914
3359639,22978,19488,-3298,88,45,18,-0.950730,2.262087,1.673447
3375265,22950,19472,-3342,49,46,4,-0.951489,2.262089,1.674628
3390891,22966,19460,-3276,2,33,-6,-0.952158,2.262544,1.676390
3406518,23040,19404,-3280,-8,28,-5,-0.952051,2.262798,1.676661
3422145,23098,19516,-3376,45,43,19,-0.952373,2.263164,1.677794
3437772,23084,19550,-3490,24,39,33,-0.953529,2.263079,1.679528
3453397,23114,19542,-3378,-23,27,37,-0.954197,2.262908,1.680227
3469023,23068,19448,-3240,-25,33,32,-0.955113,2.262542,1.681078
3484650,22964,19550,-3086,9,56,16,-0.955182,2.262453,1.681084
3500275,22842,19706,-3288,8,73,11,-0.955152,2.262494,1.681334
3515900,22778,19702,-3218,-29,69,26,-0.954974,2.262599,1.681190
3531526,22752,19562,-3446,-60,44,29,-0.954510,2.262650,1.680603
3547152,22792,19344,-3516,-97,19,3,-0.954263,2.262758,1.680372
3562779,22948,19188,-3348,-82,16,-2,-0.953772,2.263120,1.679853
3578406,23018,19196,-3416,15,24,6,-0.953603,2.263461,1.679964
3594033,23108,19374,-3480,118,46,22,-0.954297,2.263427,1.680959
3609660,23022,19626,-3448,189,65,38,-0.956636,2.263147,1.684518
3625285,22880,19696,-3356,118,54,27,-0.957932,2.262960,1.686548
3640911,22756,19510,-3220,13,21,44,-0.959556,2.262945,1.689134
3656538,22714,19032,-3164,-52,50,17,-0.959897,2.262739,1.689575
3672165,22658,19136,-3066,21,51,-9,-0.959501,2.262762,1.689008
3687791,22746,19600,-3314,178,15,5,-0.960100,2.263280,1.690930
3703418,22918,19834,-3448,188,-18,14,-0.961543,2.263546,1.693612
3719051,23128,19782,-3696,49,-31,-3,-0.964256,2.264219,1.698972
3734676,23288,19672,-3738,-30,1,-14,-0.964976,2.264615,1.700494
3750302,23170,19668,-3768,5,42,-5,-0.965104,2.265301,1.701425
3765928,23012,19782,-3706,37,62,9,-0.965156,2.265537,1.701914
3781555,22934,19862,-3558,101,63,31,-0.965576,2.265706,1.703027
3797180,22890,20002,-3662,151,62,44,-0.966311,2.265596,1.704299
3812805,22876,19930,-3786,63,48,34,-0.967946,2.265429,1.707349
3828431,22978,19700,-3916,-38,32,4,-0.968654,2.265528,1.708725
3844058,23040,19520,-3792,-73,37,-9,-0.968457,2.265798,1.708700
3859684,23020,19382,-3612,-58,57,-8,-0.967509,2.266376,1.707861
3875311,22882,19634,-3554,43,68,5,-0.966781,2.266547,1.707225
3890937,22858,19956,-3822,149,57,22,-0.967130,2.266699,1.708222
3906563,22896,20132,-3988,143,45,30,-0.967888,2.266822,1.709983
3922190,22958,19938,-3754,7,32,19,-0.969430,2.267105,1.713064
