gravity_test
Module: E0:5A:1B:76:51:80 (05)
t(us),ax,ay,az,gx,gy,gz,y,p,r
3768640,32767,19384,6342,-25,-45,-9,-0.654843,1.015817,1.283462
3784266,32767,19432,6270,-24,-46,-9,-0.653542,1.015876,1.283420
3799893,32767,19452,6358,-24,-44,-9,-0.653338,1.015913,1.283685
3815519,32767,19430,6294,-24,-45,-9,-0.652745,1.015879,1.283667
3831146,32767,19464,6314,-25,-44,-10,-0.651871,1.015822,1.283779
3846773,32767,19466,6296,-25,-44,-10,-0.651232,1.015859,1.283648
3862399,32767,19414,6284,-25,-45,-10,-0.650351,1.015803,1.283760
3878025,32767,19434,6270,-25,-44,-9,-0.649750,1.015768,1.283741
3893651,32767,19406,6290,-24,-45,-9,-0.648893,1.015842,1.283877
3909277,32767,19420,6272,-24,-44,-9,-0.648000,1.015785,1.283988
3924903,32767,19446,6236,-25,-44,-10,-0.647466,1.015809,1.284105
3940530,32767,19442,6212,-24,-44,-10,-0.646522,1.015824,1.284105
3956156,32767,19440,6324,-24,-44,-9,-0.645911,1.015790,1.284086
3971782,32767,19424,6312,-24,-43,-9,-0.644959,1.015804,1.284086
3987408,32767,19400,6344,-25,-45,-10,-0.644618,1.015907,1.284180
4003033,32767,19430,6196,-25,-46,-9,-0.643704,1.015850,1.284292
4018659,32767,19422,6240,-25,-45,-10,-0.643040,1.015887,1.284161
4046248,32767,19430,6342,-25,-46,-10,-0.641220,1.015904,1.284409
4061874,32767,19398,6298,-24,-46,-8,-0.640594,1.015869,1.284390
4077500,32767,19432,6326,-25,-45,-9,-0.640289,1.015846,1.284520
4093126,32767,19464,6314,-25,-44,-10,-0.639058,1.015908,1.284507
4108753,32767,19430,6276,-24,-44,-9,-0.638749,1.015885,1.284637
4124380,32767,19400,6282,-25,-45,-9,-0.637435,1.015888,1.284488
4140007,32767,19408,6266,-25,-45,-9,-0.637197,1.015924,1.284754
4155633,32767,19434,6328,-25,-45,-9,-0.636197,1.015938,1.284755
4171260,32767,19442,6232,-25,-44,-9,-0.634917,1.015869,1.284716
4186887,32767,19378,6210,-25,-44,-10,-0.634598,1.015846,1.284846
4202514,32767,19378,6288,-24,-44,-9,-0.633659,1.015919,1.284983
4218140,32767,19400,6236,-25,-45,-9,-0.633013,1.015884,1.284964
4233765,32767,19402,6228,-25,-44,-10,-0.631873,1.015966,1.284793
4249391,32767,19382,6298,-25,-45,-9,-0.631547,1.015943,1.284923
4265018,32767,19422,6266,-24,-44,-10,-0.630591,1.016016,1.285060
4280645,32767,19430,6234,-25,-44,-9,-0.629228,1.016019,1.284910
4296271,32767,19468,6240,-24,-44,-10,-0.629228,1.016019,1.284910
4311897,32767,19394,6288,-25,-44,-10,-0.627577,1.015927,1.285002
4327524,32767,19466,6292,-26,-45,-10,-0.627187,1.015976,1.285022
4343150,32767,19438,6306,-25,-45,-10,-0.625859,1.015907,1.284983
4358775,32767,19436,6314,-25,-45,-8,-0.625520,1.015883,1.285113
4374401,32767,19418,6328,-24,-45,-9,-0.624205,1.015945,1.285100
4390026,32767,19464,6298,-24,-45,-10,-0.623133,1.015959,1.285101
