ax,ay,az,gx,gy,gz
20392,21144,-5250,-28,-130,-10
20940,21364,-5838,2,-123,-12
21366,21634,-5752,0,-72,-7
21144,21490,-5546,-19,-41,28
20332,21142,-5058,-27,-33,26
20284,21138,-4942,0,-81,28
20572,21292,-5282,-7,-123,-18
21020,21124,-5552,-51,-128,-66
21122,20870,-5518,-100,-93,-154
20954,20866,-5466,-91,-69,-190
20538,21236,-5410,-24,-56,-135
20430,21942,-5332,29,-63,-48
20524,22214,-5472,-2,-77,74
20664,21654,-5328,-63,-78,85
20880,21058,-5256,-99,-89,30
20940,20784,-5454,-93,-75,-26
20974,20958,-5400,-72,-57,-46
20842,21026,-5314,-37,-48,-20
20636,21186,-5280,5,-54,-4
20714,21284,-5222,-36,-66,-8
20588,20970,-5386,-50,-56,-26
20918,20896,-5306,-40,-50,-59
20966,21152,-5436,-15,-52,-50
20744,21438,-5308,-8,-43,-34
20600,21682,-5224,-29,-46,-25
20594,21706,-5276,-49,-58,-10
20626,21400,-5202,-56,-67,14
20630,20978,-5266,-40,-86,14
21058,21120,-5506,-27,-71,-6
21234,21184,-5562,-38,-33,-11
20784,21212,-5358,-50,-9,-23
20376,21098,-5098,-59,-26,-29
20368,21182,-5172,-28,-66,-3
20756,21142,-5350,-7,-80,30
20942,21018,-5532,4,-67,53
20806,21160,-5342,-38,-37,-31
20630,21320,-5188,-70,-46,-78
20674,21438,-5126,-71,-64,-65
20872,21374,-5292,-39,-68,0
21048,21352,-5278,9,-49,67
20740,21222,-5164,4,-40,71
20576,21060,-4996,-35,-55,15
20622,21066,-5080,-50,-81,-44
21024,21028,-5272,-31,-55,1
20890,21202,-5322,7,-40,36
20668,21332,-5144,-8,-36,50
20390,21244,-5026,-43,-63,19
20510,21186,-5124,-61,-104,-24
20866,21250,-5414,-53,-110,-33
21222,21142,-5484,-46,-77,-28
21060,21294,-5400,-17,-14,-7
20598,21524,-5102,-3,-8,21
20228,21464,-4804,-32,-48,24
20534,21100,-4892,-70,-106,-8
21002,20744,-5264,-74,-106,-33
21222,20886,-5394,-30,-68,-44
21014,21380,-5400,6,-32,-9
20566,21598,-5172,-11,-23,12
20508,21316,-4792,-82,-58,-4
20782,20878,-5082,-23,-94,2
20904,20970,-4992,-30,-94,-33
20862,21170,-5288,-23,-98,-30
20890,21688,-5474,-31,-73,-55
20792,21540,-4922,-55,-54,40
20366,21038,-4656,-57,-98,58
20354,20946,-4756,-41,-173,25
20848,20968,-4932,-37,-202,6
21092,21034,-5092,-48,-201,0
20934,21232,-4786,-53,-226,2
20656,21340,-4474,-78,-278,17
20708,21014,-4462,-89,-361,64
20808,21124,-4610,-59,-392,75
21162,21410,-4968,-39,-386,44
21440,21580,-5422,-29,-272,28
21714,21534,-4760,26,-197,72
21310,21430,-4076,10,-216,65
20664,21518,-4074,-13,-262,56
20410,21758,-4660,-11,-239,81
21298,21490,-4844,-10,-161,103
21908,21304,-4570,-52,-126,31
21442,20850,-4362,-142,-99,-68
21082,20560,-4296,-165,-84,-133
21146,20754,-4530,-102,-44,-134
21242,21364,-4532,20,2,-35
21296,21950,-4488,48,26,35
20878,21922,-4080,-25,27,67
20392,20826,-3386,-61,-90,56
20554,20890,-3764,-9,-198,5
21226,21250,-4708,10,-193,-12
22170,21622,-5332,30,-82,-17
22434,21918,-5084,10,56,-25
21638,21670,-4280,-62,122,0
20272,21186,-3686,-95,91,-3
19850,20942,-3370,-65,-16,-20
20774,21244,-4112,0,-157,1
21626,21290,-5058,17,-112,16
22258,21396,-5142,30,3,6
21878,21570,-4454,-21,71,-37
20654,21570,-3998,-72,61,-45
20028,21332,-3734,-85,-6,-32
20380,21016,-3794,-50,-101,7
20962,21004,-4266,28,-164,57
21776,21710,-5152,77,-94,33
22126,21946,-4792,-40,4,-39
21374,21296,-4156,-134,41,-48
20328,20790,-3710,-97,12,-53
20308,21108,-3754,14,-79,-37
21066,21528,-4378,49,-133,1
21604,21680,-4776,21,-101,24
21542,21500,-4704,-13,-23,46
21118,21278,-4316,-32,6,27
20826,21154,-4026,-31,-8,-17
20932,21434,-4190,-24,-38,-32
21164,21582,-4558,-23,-51,-8
21226,21664,-4540,-13,-24,25
21202,21470,-4460,-31,-4,35
21114,21324,-4346,-71,-4,-13
21132,21004,-4164,-67,-21,-34
20900,21236,-4172,-15,-40,-17
20800,21510,-4240,-9,-61,-4
21002,21536,-4434,-21,-79,3
21464,21356,-4472,-43,-31,-13
21276,21294,-4314,-39,-25,-7
20850,21326,-4080,-32,-42,2
20636,21254,-4088,-21,-99,10
20936,21326,-4282,-26,-121,-14
21474,21288,-4546,-27,-96,-17
21450,21414,-4452,-19,-56,-25
21088,21520,-4072,-26,-54,-13
20466,21492,-3662,-47,-133,-1
20674,21592,-4000,-28,-224,20
21300,21492,-4662,-33,-199,49
21834,21344,-4628,-24,-135,52
21646,21196,-4242,-29,-98,22
20980,21298,-3608,-45,-120,-9
20320,21304,-2942,-63,-233,-7
20374,21158,-3540,-34,-373,35
21474,21548,-4732,7,-317,-11
22542,21908,-4726,-22,-229,-31
22394,21828,-4334,-66,-144,15
21190,21438,-3854,-74,-89,46
20584,21052,-3276,4,-118,77
20588,21044,-3318,91,-188,96
21030,21400,-3894,91,-187,40
22070,21434,-4216,5,-152,-53
22228,21484,-4070,-62,-80,-73
21374,21442,-3774,-50,-56,-14
20840,21406,-3622,-36,-76,25
20762,21448,-3736,-23,-86,20
21652,21702,-4206,0,-61,3
22272,21916,-4244,-38,7,-33
22016,21616,-3884,-93,59,-30
21034,21214,-3492,-63,69,8
20566,21218,-3064,-33,4,10
20686,21208,-3536,-3,-82,5
21548,21548,-4322,-11,-61,-59
22442,21560,-4432,-48,14,-67
22176,21338,-4098,-40,75,-13
20850,21358,-3486,-16,83,3
20208,21412,-2988,0,-6,10
20520,21576,-3692,-34,-121,-30
21676,21426,-4132,-42,-109,-56
22498,21362,-4378,-9,-59,-21
21998,21684,-4294,-3,22,6
21014,21800,-3952,-21,62,26
20782,21616,-3606,-41,35,15
20944,21514,-3492,-68,-21,-16
21254,21018,-3860,-72,-35,6
21716,21048,-3994,19,-21,2
21514,21692,-3970,15,-12,-20
21030,21722,-3774,-46,-7,-16
20966,21528,-3590,-59,-41,-15
21210,21314,-3872,-29,-59,-5
21328,21424,-4116,6,-36,9
