ax,ay,az,gx,gy,gz
32767,32767,-12864,-26,-57,-16
32767,32767,-12946,4,-53,-17
32767,32767,-13034,23,-68,6
32767,32767,-12968,-38,-72,11
32767,32767,-12962,-97,-68,5
32767,32767,-12928,-79,-40,10
32767,32767,-12936,-32,-12,-16
32767,32767,-12882,26,-6,-39
32767,32767,-12576,29,-36,-21
32767,32767,-12526,-42,-73,-8
32767,32767,-12608,-119,-94,-3
32767,32767,-12794,-96,-87,8
32767,32767,-12928,-1,-49,3
32767,32767,-13152,111,-34,-15
32767,32767,-13064,111,-58,3
32767,32767,-12954,-5,-73,8
32767,32767,-13104,-151,-79,-11
32767,32767,-13160,-188,-52,-31
32767,32767,-13154,-80,-9,-42
32767,32767,-12924,64,15,-44
32767,32767,-12726,108,-14,-16
32767,32767,-12590,-43,-53,5
32767,32767,-12712,-176,-87,-1
32767,32767,-12854,-163,-70,-13
32767,32767,-12952,34,-46,-1
32767,32767,-13008,185,-34,12
32767,32767,-13048,119,-49,7
32767,32767,-12964,-104,-71,-9
32767,32767,-13004,-249,-62,-20
32767,32767,-12946,-126,-21,-30
32767,32767,-12900,67,15,-23
32767,32767,-12876,200,24,-15
32767,32767,-12646,114,-22,-35
32767,32767,-12762,-35,-66,-28
32767,32767,-12764,-93,-89,-8
32767,32767,-12900,-12,-81,3
32767,32767,-13036,123,-69,16
32767,32767,-13102,90,-70,16
32767,32767,-13128,-146,-83,-6
32767,32767,-13230,-224,-81,-22
32767,32767,-13242,-241,-67,-34
32767,32767,-13048,-398,-66,-66
32767,32767,-12770,-509,-59,-86
32767,32767,-12406,-582,-75,-96
32767,32767,-12268,-825,-157,-115
32767,32767,-12330,-1293,-242,-130
32767,32767,-12112,-1940,-315,-139
32767,32767,-11518,-2036,-312,-51
32767,31934,-9986,-973,-221,147
32767,32767,-10154,-481,-242,177
32767,32767,-10152,-777,-246,65
32767,32767,-10916,-1851,-302,-103
32767,32767,-10962,-3129,-341,-316
32767,32767,-10422,-3715,-249,-432
32767,31886,-8802,-3413,-51,-375
32767,30670,-7442,-2590,69,-263
32767,32624,-5926,-1487,143,-240
32767,32767,-5488,-1250,124,-246
32767,32767,-5198,-1685,96,-270
32767,32767,-4868,-2416,50,-319
32767,32767,-3962,-2654,-9,-316
32767,31108,-2866,-2236,-60,-247
32767,30986,-2410,-1592,-91,-185
32767,32726,-2506,-1140,-101,-155
32767,32767,-2816,-1261,-109,-154
32767,32767,-2524,-1478,-79,-146
32767,32767,-2122,-1642,-86,-146
32767,31414,-1952,-1473,-65,-100
32767,31050,-1590,-1073,-14,-27
32767,31650,-1382,-789,2,1
32767,32374,-1294,-731,51,-21
32767,32526,-650,-841,67,-22
32767,32046,-160,-927,50,-23
32767,31752,-118,-922,35,-22
32767,30956,-8,-829,23,20
32767,30602,174,-599,11,85
32767,30858,488,-407,-10,102
32767,31316,600,-306,-53,98
32767,32012,422,-378,-56,72
32767,31902,382,-601,-65,44
32767,30200,516,-644,-63,80
32767,29154,716,-362,-50,116
32767,29318,604,18,-43,105
32767,32290,598,68,-4,25
32767,32767,394,-507,9,-50
32767,32550,816,-1169,41,-57
32767,29406,1006,-1232,51,-4
32767,27960,1550,-618,49,53
32767,29050,1600,-171,29,65
32767,30460,1468,-88,33,3
32767,30666,1576,-228,32,-24
32767,30292,1854,-365,26,-5
32767,30472,2066,-417,16,6
32767,31088,2018,-573,-3,-12
