ax,ay,az,gx,gy,gz,ax,ay,az,gx,gy,gz
32767,20966,6378,-9,-59,1,24216,5106,5212,-25,16,4
32767,20940,6286,-45,-77,6,24394,5298,5212,-10,6,-1
32767,20682,5992,-78,-87,18,24560,5452,5230,-7,10,2
32767,20154,5940,-62,-55,10,24412,5204,5242,-18,10,-2
32767,20224,5882,-34,-31,8,24390,5156,5198,-14,8,3
32767,20186,6160,-35,-19,1,24448,5390,5320,-5,14,16
32767,20168,6342,-44,-40,-21,24506,5640,5328,-19,16,25
32767,20092,6488,-32,-90,-41,24494,5550,5288,-37,20,29
32767,20326,5984,48,-102,-25,24272,5462,5228,-50,26,30
32767,21180,5632,66,-70,-4,24192,5370,5202,-45,22,26
32767,21288,5496,-36,-4,1,24296,5410,5188,-53,24,7
32767,20712,5958,-135,33,-8,24228,5106,5140,-54,23,6
32767,20338,6600,-135,27,-27,24144,5034,5092,-37,28,1
32767,20304,6718,-95,-17,-29,24300,5086,5188,-16,28,1
32767,20488,6300,-32,-68,-2,24366,5188,5194,-21,35,1
32767,20422,6038,-5,-68,10,24216,5150,5202,-19,38,6
32767,20268,6032,2,-54,8,24080,5182,5194,-7,30,-2
32767,20408,6148,-11,-45,-17,24278,5532,5176,-1,22,-13
32767,20760,6174,-64,-37,-27,24576,5464,5204,-6,30,-4
32767,20494,6074,-107,-21,-12,24682,5636,5344,-12,48,-1
32767,20114,6184,-81,-18,-3,24368,5474,5284,-47,55,12
32767,19916,6424,-1,-31,-5,24146,5132,5196,-53,37,9
32767,20650,6446,45,-88,-31,24106,5206,5234,-38,17,-1
32767,21028,6056,-34,-95,-41,24308,5348,5176,-24,5,-2
32767,20838,5518,-79,-54,-18,24468,5336,5174,-32,15,-5
32767,20518,5602,-62,2,22,24436,5276,5260,-49,26,5
32767,20188,5950,-29,55,26,24250,4978,5204,-47,30,12
32767,20240,6376,-35,58,5,24182,5156,5124,-25,24,15
32767,20366,6456,-62,38,-17,24284,5402,5230,-10,15,4
32767,20328,6212,-69,30,-24,24350,5452,5354,-17,16,2
32767,20200,5972,-8,35,0,24446,5352,5268,-42,23,7
32767,20500,6024,38,46,6,24256,5228,5238,-45,29,15
