A1x,A1y,A1z,G1x,G1y,G1z,A2x,A2y,A2z,G2x,G2y,G2z,A3x,A3y,A3z,G3x,G3y,G3z,A4x,A4y,A4z,G4x,G4y,G4z,A5x,A5y,A5z,G5x,G5y,G5z,A6x,A6y,A6z,G6x,G6y,G6z
-8212,-2080,18168,15517,-18564,7782,-20552,-1368,-1640,-3189,9818,24533,-13956,-6008,1612,-1404,7948,23219,-14336,-568,1324,-666,1508,6700,-13356,5240,-2580,-2163,-1925,495,-14728,-2616,15552,-1127,-2343,-908
-8720,-4276,21100,16984,-18013,6744,-21808,-1120,-1236,-906,8667,24979,-15256,-7040,-3368,853,7799,23600,-12940,-480,-1568,1585,1844,5853,-12456,6268,-2620,-1408,-1660,-357,-13768,-3316,16100,-2185,-1833,-466
-8136,-1728,20080,13199,-17169,5107,-22184,292,-532,1239,5523,24518,-16884,-4760,-1624,5927,5477,23824,-12960,1684,-3556,1730,4054,5768,-12420,7412,-2044,562,689,168,-13904,-3612,15920,-1440,-904,44
-8568,508,18380,7050,-15574,5033,-21096,2276,-2576,-1381,4841,23133,-17124,292,212,3370,4120,22388,-15564,4440,800,1171,3413,4075,-12680,8228,-2856,-868,854,-405,-14520,-2624,15392,-1337,-568,486
-13312,-668,19800,11802,-14769,6187,-20168,-2284,-2872,-3960,5491,19705,-16748,1308,144,-96,4136,18713,-15180,8352,4,-40,2707,4657,-12404,9080,-3408,-2755,959,-484,-14316,-2328,15764,-1357,-550,520
-9100,-88,12456,9905,-13063,7246,-19220,-448,-2808,-1337,4136,15849,-17272,1148,-3496,904,3625,14398,-13420,5828,-1408,-3126,1592,3948,-13696,8704,-944,-3113,1352,460,-14248,-3000,15864,-1570,-202,497
-9032,-2164,10764,6592,-7411,5085,-16384,-672,-2536,-1602,2792,10969,-15700,3228,-1732,254,2399,10246,-14348,7412,-744,-2787,1804,3744,-12760,8300,-1368,-2757,830,1334,-14320,-3188,15576,-1439,-125,1052
-8196,-1068,9680,7220,-3647,2686,-14868,-1580,-2000,-321,2344,6413,-14624,1472,-1352,1041,1806,5592,-13128,4752,-60,-1206,566,1825,-12268,7648,-1952,-1658,1404,1550,-14160,-1924,15616,-1489,-149,1548
-6628,1756,10376,1752,-1060,2587,-14368,1892,-1804,35,1819,2151,-15184,2656,-1812,576,1782,1947,-12688,4092,-740,410,1467,848,-11864,7976,-2032,-1767,1732,1361,-14136,-1648,16456,-1603,452,1845
-6340,432,12696,560,698,2303,-14080,1520,-1992,-1763,1155,-916,-14800,2392,-596,-711,706,-651,-14232,4600,-276,-698,1169,-646,-12680,7544,-1736,-2579,1659,595,-14636,-1068,15848,-1680,348,1472
-3800,2356,12044,-1513,2598,2048,-14044,4024,-2108,-3044,1196,-2873,-14888,1284,-1304,-2907,111,-2232,-13408,2944,-220,-2288,606,-2220,-12920,7156,-2024,-3076,2036,-712,-15484,-1528,15392,-1345,514,994
-4068,3216,13136,-2733,3551,2809,-14808,3556,-2828,-3652,1121,-4214,-15480,944,-1092,-3703,-2,-3493,-14524,2704,-732,-3187,1207,-3921,-13604,6860,-1860,-1818,1804,-2316,-16092,-2152,15904,-1463,423,815
-5432,4320,17108,-6509,6807,1723,-17324,10316,-3292,-3536,1021,-4624,-16932,1848,-1968,-5981,82,-4231,-16112,2232,332,-4323,943,-5537,-14448,7532,-1144,-2369,1777,-3946,-16392,-2352,16260,-559,-169,293
4264,3256,12700,-6583,8309,-219,-13340,13772,-4980,-2717,2261,-797,-17476,5728,-756,-4387,1384,-284,-17532,4784,1216,-3579,1541,-5225,-16928,8024,-1676,-3334,1153,-4429,-16660,-3532,15432,116,250,-809
