a1x,a1y,a1z,g1x,g1y,g1z,a2x,a2y,a2z,g2x,g2y,g2z,a3x,a3y,a3z,g3x,g3y,g3z,a4x,a4y,a4z,g4x,g4y,g4z
4714,20550,-18810,-22,31,-10,2614,32559,-13936,18,-53,-20,10770,2498,-3298,-28,38,14,23586,11828,-2598,-11,-38,-7
4712,20428,-18808,-54,11,-11,2582,32760,-13842,27,-62,-16,10656,2638,-3068,-19,39,11,23582,11956,-2594,-12,-53,-4
4514,20518,-18756,-10,19,-22,2724,32508,-14080,36,-60,-22,10734,2696,-3130,-23,29,11,23692,11856,-2662,-21,-55,-5
4548,20578,-18788,-47,-10,-36,2672,32650,-13966,10,-46,-29,10962,2650,-3066,-31,38,7,23728,11790,-2688,-24,-31,-8
4586,20560,-18888,-32,-19,-34,2540,32495,-13796,6,-47,-27,10798,2566,-3126,-23,48,7,23748,11796,-2704,-13,-27,-3
4846,20284,-18848,-57,-30,-22,2618,32432,-13906,21,-63,-22,10616,2636,-3100,-27,49,5,23604,11936,-2580,-5,-35,-2
4790,20310,-18874,-1,3,-5,2704,32742,-13970,26,-66,-22,10546,2566,-3162,-24,37,3,23564,11992,-2602,-19,-38,-3
4622,20664,-18814,-3,12,1,2700,32727,-14004,-5,-51,-28,10662,2574,-3154,-28,26,-1,23596,11910,-2552,-26,-39,-3
4484,20616,-18658,-21,-7,-1,2574,32697,-13872,-20,-52,-26,10734,2512,-3120,-17,27,-7,23604,11930,-2594,-33,-43,-5
4662,20562,-18730,-39,-25,-4,2590,32493,-13782,0,-80,-16,10832,2578,-3092,-9,35,-8,23560,11848,-2562,-37,-37,-8
4672,20626,-18922,-54,-54,1,2886,32576,-14080,8,-77,-19,10616,2616,-3152,-10,42,-5,23550,11732,-2628,-37,-42,-8
5088,20174,-18922,-65,-61,1,2684,32706,-13894,-6,-48,-24,10530,2694,-3238,-6,27,0,23618,11702,-2632,-29,-50,-8
5082,20270,-18920,-12,-18,12,2518,32496,-13868,-3,-58,-20,10618,2736,-3212,2,10,6,23604,11738,-2626,-22,-42,-10
4954,20332,-18828,-3,-6,11,2742,32456,-13936,16,-68,-11,10802,2812,-3142,-6,8,6,23520,11892,-2626,-15,-38,-8
4914,20364,-18850,-11,1,10,2544,32418,-13810,6,-48,-4,10794,2758,-3128,-21,22,3,23546,11860,-2730,-25,-39,-9
4826,20364,-18876,-15,-4,9,2394,32383,-13862,16,-74,6,10822,2682,-3090,-29,34,2,23588,11864,-2606,-22,-53,-13
4818,20374,-18740,-15,5,7,2896,32347,-14236,45,-91,5,10648,2696,-3180,-23,35,6,23710,11910,-2638,-20,-60,-13
4754,20552,-18814,-25,-3,-4,2794,32554,-14054,15,-49,-7,10724,2624,-3174,-22,24,10,23750,11790,-2652,-31,-45,-17
